"Commune","Departement","Region","Code_UIC","WGS_84"
"Saint-Cassien","Isère","Auvergne-Rhône-Alpes","747279","45.3688217, 5.5346895"
"Saint-Claude","Jura","Bourgogne-Franche-Comté","743633","46.3899539, 5.8603471"
"Ambérieu-en-Bugey","Ain","Auvergne-Rhône-Alpes","743716","45.954008, 5.342388"
"Annecy","Haute-Savoie","Auvergne-Rhône-Alpes","746206","45.9395239, 6.1232736"
"Annemasse","Haute-Savoie","Auvergne-Rhône-Alpes","745497","46.199222, 6.23652"
"Magland","Haute-Savoie","Auvergne-Rhône-Alpes","746412","46.016945, 6.6215075"
"Rumilly","Haute-Savoie","Auvergne-Rhône-Alpes","746149","45.862989, 5.947938"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","751008","43.302666, 5.380407"
"Saint-Chamas","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","753202","43.5511577, 5.0402963"
"Sisteron","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","751206","44.1902025, 5.9465888"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","751719","43.2905165, 5.4413152"
"Moirans","Isère","Auvergne-Rhône-Alpes","747691","45.324154, 5.56517"
"Gardanne","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","751420","43.455992, 5.463332"
"Jarrie","Isère","Auvergne-Rhône-Alpes","747535","45.0854543, 5.7424487"
"Goncelin","Isère","Auvergne-Rhône-Alpes","747477","45.341941, 5.974136"
"Voiron","Isère","Auvergne-Rhône-Alpes","747287","45.364037, 5.595054"
"Vif","Isère","Auvergne-Rhône-Alpes","747576","45.0476532, 5.6854542"
"Villefranche-sur-Mer","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756361","43.707061, 7.314129"
"Saint-Laurent-du-Var","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756346","43.662451, 7.194413"
"Touët-de-l'Escarène","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756817","43.8470835, 7.364363"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756775","43.7599599, 7.3168739"
"Antibes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","757666","43.570896, 7.11144"
"Menton","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756494","43.785202, 7.517297"
"Cap-d'Ail","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756395","43.7205382, 7.3943362"
"Sospel","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756825","43.876545, 7.453788"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","757559","43.4313701, 6.8564997"
"Èze","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756387","43.7221842, 7.3568031"
"Breuil-sur-Couze","Puy-de-Dôme","Auvergne-Rhône-Alpes","734228","45.4670838, 3.2621478"
"Montrond-les-Bains","Loire","Auvergne-Rhône-Alpes","726885","45.644429, 4.248814"
"Saint-Étienne","Loire","Auvergne-Rhône-Alpes","726901","45.446976, 4.385317"
"Rive-de-Gier","Loire","Auvergne-Rhône-Alpes","726331","45.524324, 4.606648"
"Aigueperse","Puy-de-Dôme","Auvergne-Rhône-Alpes","734129","46.0147884, 3.1982621"
"Alleyras","Haute-Loire","Auvergne-Rhône-Alpes","731885","44.919217, 3.673517"
"Brioude","Haute-Loire","Auvergne-Rhône-Alpes","734269","45.3006493, 3.3786344"
"Gerzat","Puy-de-Dôme","Auvergne-Rhône-Alpes","734046","45.8335879, 3.1431045"
"Issoire","Puy-de-Dôme","Auvergne-Rhône-Alpes","734202","45.543884, 3.25398"
"Firminy","Loire","Auvergne-Rhône-Alpes","726729","45.391625, 4.28643"
"Saint-Pierre-d'Albigny","Savoie","Auvergne-Rhône-Alpes","741223","45.557397, 6.156151"
"Puy-en-Velay","Haute-Loire","Auvergne-Rhône-Alpes","734699","45.042866, 3.892421"
"Vertaizon","Puy-de-Dôme","Auvergne-Rhône-Alpes","734426","45.784543, 3.288269"
"Nurieux-Volognat","Ain","Auvergne-Rhône-Alpes","743351","46.1842195, 5.5327486"
"Vernassal","Haute-Loire","Auvergne-Rhône-Alpes","734673","45.14211, 3.7365537"
"Thiers","Puy-de-Dôme","Auvergne-Rhône-Alpes","734475","45.8610502, 3.5431798"
