Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2017-09;0087726760;Aurec;0;0;0;0;0
2017-09;0087581009;Bordeaux Saint-Jean;575;853;75;3541;2038
2017-09;0087394437;Illiers-Combray;0;0;0;0;0
2017-09;0087734202;Issoire;10;1;0;20;9
2017-09;0087192039;Metz;240;87;3;549;219
2017-09;0087594275;Meymac;0;0;0;0;0
2017-09;0087742007;Modane;0;0;0;3;3
2017-09;0087474338;Morlaix;28;46;2;139;63
2017-09;0087595009;Périgueux;19;20;3;138;96
2017-09;0087683136;Pont-sur-Yonne;0;0;0;9;9
2017-09;0087471003;Rennes;377;490;23;1945;1055
2017-09;0087613422;Rodez;1;11;0;35;23
2017-09;0087313460;Rosières;0;0;0;0;0
2017-09;0087726307;Saint-Chamond;2;0;0;4;2
2017-09;0087742320;Saint-Jean-de-Maurienne Arvan;0;3;0;13;10
2017-09;0087382341;Sèvres - Ville-d'Avray;0;0;0;0;0
2017-09;0087271817;Soissons;4;0;0;8;4
2017-09;0087296442;Tergnier;8;4;0;27;15
2017-09;0087386656;Vernouillet - Verneuil;0;0;0;3;3
2017-07;0087476200;Auray;73;145;9;395;168
2017-07;0087444000;Caen;170;124;18;554;242
2017-07;0087613356;Caussade;0;0;0;2;2
2017-07;0087785006;Cerbère;0;0;0;0;0
2017-07;0087747006;Grenoble;392;128;14;897;363
2017-07;0087486019;La Roche-sur-Yon;58;37;6;222;121
2017-07;0087645135;Laroquebrou;0;0;0;2;2
2017-07;0087271478;Le Blanc-Mesnil;0;0;0;0;0
2017-07;0087584052;Libourne;10;24;2;111;75
2017-07;0087381483;Maurecourt;0;0;0;0;0
2017-07;0087611889;Moissac;1;1;0;3;1
2017-07;0087718833;Mouchard;10;0;0;25;15
2017-07;0087696005;Nevers;63;31;7;269;168
2017-07;0087317057;Rang-du-Fliers - Verton - Berck;28;3;0;55;24
2017-07;0087732206;Saint-Germain-des-Fossés;8;7;0;42;27
2017-07;0087592709;Saint-Junien;0;0;0;1;1
2017-07;0087481838;Savenay;30;3;0;41;8
2017-07;0087214056;Sélestat;27;2;0;60;31
2017-07;0087396234;Sillé-le-Guillaume;3;7;0;21;11
2017-07;0087382374;Suresnes Mont Valérien;4;0;0;4;0
2017-07;0087734475;Thiers;1;0;0;3;2
2017-07;0087386656;Vernouillet - Verneuil;0;0;0;2;2
2017-07;0087645440;Vic-sur-Cère;0;0;0;3;3
2017-07;0087444067;Bayeux;9;10;1;74;54
2017-07;0087300822;Belfort - Montbéliard TGV;40;43;2;196;111
2017-07;0087300863;Besançon Franche-Comté TGV;58;40;3;206;105
2017-07;0087615286;Carcassonne;37;38;4;193;114
2017-07;0087381905;Cergy Préfecture;31;0;0;34;3
2017-07;0087713578;Chagny;3;1;0;18;14
2017-07;0087381194;Chars;0;0;0;1;1
2017-07;0087481754;La Baule-Escoublac;69;122;1;302;110
2017-07;0087592378;La Souterraine;6;10;1;79;62
2017-07;0087271395;Le Bourget;4;0;0;4;0
2017-07;0087694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;29;49;2;149;69
2017-07;0087694000;Le Creusot Ville;10;3;0;15;2
2017-07;0087645473;Le Lioran;0;0;0;2;2
2017-07;0087543017;Les Aubrais;33;32;3;183;115
2017-07;0087386680;Les Mureaux;0;0;0;1;1
2017-07;0087194274;Longuyon;0;0;0;11;11
2017-07;0087723569;Montluel;0;0;0;0;0
2017-07;0087773002;Montpellier Saint-Roch;618;522;27;2275;1108
2017-07;0087485300;Niort;44;57;8;265;156
2017-07;0087684274;Nogent-sur-Vernisson;0;1;0;1;0
2017-07;0087391003;Paris Montparnasse;1267;2268;124;5787;2128
2017-07;0087271023;Paris Nord souterrain;7;0;0;8;1
2017-07;0087384008;Paris Saint-Lazare;468;394;57;1533;614
2017-07;0087672006;Pau;41;48;4;325;232
2017-07;0087141820;Pont-à-Mousson;19;2;0;28;7
2017-07;0087576868;Selles-sur-Cher;0;0;0;4;4
2017-07;0087761163;Tain-l'Hermitage - Tournon;0;0;0;4;4
2017-07;0087713198;Tonnerre;0;1;0;3;2
2017-07;0087594499;Tulle;0;0;0;4;4
2017-07;0087444711;Alençon;10;21;0;57;26
2017-07;0087582668;Arcachon;50;73;4;198;71
2017-07;0087342014;Arras;85;67;1;311;158
2017-07;0087313510;Beauvais;10;6;0;37;21
2017-07;0087415893;Bonnières;0;0;0;0;0
2017-07;0087611665;Castelnau-d'Estrétefonds;0;0;0;1;1
2017-07;0087611897;Castelsarrasin;0;0;0;0;0
2017-07;0087611467;Colomiers;0;3;0;7;4
2017-07;0087696146;Cosne-sur-Loire;3;5;0;22;14
2017-07;0087763466;Embrun;5;4;0;13;4
2017-07;0087775288;Alès;16;11;4;80;49
2017-07;0087381848;Argenteuil;0;0;0;14;14
2017-07;0087726760;Aurec;0;0;0;0;0
2017-07;0087645002;Aurillac;1;0;0;31;30
2017-07;0087615039;Castelnaudary;1;3;0;27;23
2017-07;0087381228;Chaumont-en-Vexin;0;0;0;1;1
2017-07;0087382200;Courbevoie;0;0;0;0;0
2017-07;0087713313;Genlis;34;2;0;36;0
2017-07;0087597609;Guéret;2;1;0;11;8
2017-07;0087413013;Le Havre;57;35;7;157;58
2017-07;0087447219;Lison;13;10;0;46;23
2017-07;0087142109;Lorraine TGV;63;69;7;323;184
2017-07;0087713735;Louhans;0;1;0;2;1
2017-07;0087734871;Massiac - Blesle;3;2;0;18;13
2017-07;0087381558;Juziers;0;0;0;4;4
2017-07;0087381202;Lavilletertre;0;0;0;0;0
2017-07;0087763508;Mont-Dauphin - Guillestre;0;2;0;3;1
2017-07;0087764001;Montélimar;34;58;7;205;106
2017-07;0087645481;Murat;0;0;0;3;3
2017-07;0087141291;Neufchâteau;2;5;0;39;32
2017-07;0087672253;Orthez;21;5;0;57;31
